Exp #,Population,Nodes,Best Length,Iteration,Gain,Elapsed Time
1,1,10,35,0,0,0.000
1,1,10,30,1,5,0.001
1,1,10,24,3,6,0.001
1,1,10,23,4,1,0.000
1,1,10,16,5,7,0.001
1,1,10,15,7,1,0.000
1,1,10,12,12,3,0.003
2,1,10,27,0,0,0.000
2,1,10,25,2,2,0.001
2,1,10,20,6,5,0.002
3,1,10,42,0,0,0.000
3,1,10,37,0,5,0.000
3,1,10,26,1,11,0.001
3,1,10,22,2,4,0.000
3,1,10,19,4,3,0.001
3,1,10,16,10,3,0.002
3,1,10,15,13,1,0.002
4,1,10,27,0,0,0.000
4,1,10,22,1,5,0.001
4,1,10,18,4,4,0.001
4,1,10,16,5,2,0.000
4,1,10,14,7,2,0.001
4,1,10,12,11,2,0.002
5,1,10,35,0,0,0.000
5,1,10,29,0,6,0.001
5,1,10,25,3,4,0.001
5,1,10,21,4,4,0.001
5,1,10,15,5,6,0.000
5,1,10,14,8,1,0.001
5,1,10,13,13,1,0.003
5,1,10,12,42,1,0.012
1,1,30,125,0,0,0.000
1,1,30,105,1,20,0.014
1,1,30,95,46,10,0.311
1,1,30,92,47,3,0.007
1,1,30,80,65,12,0.128
1,1,30,74,72,6,0.049
1,1,30,69,79,5,0.049
1,1,30,57,81,12,0.014
1,1,30,54,92,3,0.076
1,1,30,53,102,1,0.070
1,1,30,50,111,3,0.061
1,1,30,47,116,3,0.035
1,1,30,39,125,8,0.062
2,1,30,136,0,0,0.000
2,1,30,132,0,4,0.007
2,1,30,123,1,9,0.007
2,1,30,121,11,2,0.069
2,1,30,120,14,1,0.021
2,1,30,115,33,5,0.132
2,1,30,112,34,3,0.007
2,1,30,104,50,8,0.111
2,1,30,88,52,16,0.013
2,1,30,81,73,7,0.144
2,1,30,78,84,3,0.076
2,1,30,68,88,10,0.028
2,1,30,67,101,1,0.090
2,1,30,60,104,7,0.021
2,1,30,59,109,1,0.034
2,1,30,55,110,4,0.007
2,1,30,54,117,1,0.049
2,1,30,50,120,4,0.020
2,1,30,46,121,4,0.007
2,1,30,45,128,1,0.049
2,1,30,44,148,1,0.138
2,1,30,41,155,3,0.048
2,1,30,39,525,2,2.559
3,1,30,119,0,0,0.000
3,1,30,117,1,2,0.013
3,1,30,111,2,6,0.007
3,1,30,109,31,2,0.197
3,1,30,105,39,4,0.055
3,1,30,102,42,3,0.020
3,1,30,97,51,5,0.062
3,1,30,82,52,15,0.007
3,1,30,78,53,4,0.006
3,1,30,76,58,2,0.034
3,1,30,70,59,6,0.007
3,1,30,65,86,5,0.184
3,1,30,63,98,2,0.082
3,1,30,60,112,3,0.095
3,1,30,59,114,1,0.014
3,1,30,51,123,8,0.061
3,1,30,48,158,3,0.239
3,1,30,47,188,1,0.206
3,1,30,46,211,1,0.157
3,1,30,45,422,1,1.441
4,1,30,120,0,0,0.000
4,1,30,110,3,10,0.028
4,1,30,88,22,22,0.128
4,1,30,87,61,1,0.263
4,1,30,83,62,4,0.006
4,1,30,76,67,7,0.034
4,1,30,71,69,5,0.014
4,1,30,54,75,17,0.041
4,1,30,48,88,6,0.087
4,1,30,47,107,1,0.128
4,1,30,46,144,1,0.250
4,1,30,44,156,2,0.081
4,1,30,43,192,1,0.243
5,1,30,135,0,0,0.000
5,1,30,127,0,8,0.007
5,1,30,121,1,6,0.007
5,1,30,113,7,8,0.041
5,1,30,112,13,1,0.041
5,1,30,104,25,8,0.081
5,1,30,93,31,11,0.042
5,1,30,83,53,10,0.150
5,1,30,81,60,2,0.048
5,1,30,66,68,15,0.055
5,1,30,61,94,5,0.177
5,1,30,56,95,5,0.007
5,1,30,54,96,2,0.007
5,1,30,47,111,7,0.102
5,1,30,45,115,2,0.027
5,1,30,44,125,1,0.068
5,1,30,43,309,1,1.272
1,1,60,271,0,0,0.000
1,1,60,258,1,13,0.092
1,1,60,254,5,4,0.184
1,1,60,244,9,10,0.184
1,1,60,243,48,1,1.790
1,1,60,240,72,3,1.101
1,1,60,239,121,1,2.250
1,1,60,230,223,9,4.685
1,1,60,227,283,3,2.755
1,1,60,223,325,4,1.928
1,1,60,220,458,3,6.109
1,1,60,207,464,13,0.275
1,1,60,202,542,5,3.581
1,1,60,198,720,4,8.191
1,1,60,180,729,18,0.413
1,1,60,178,762,2,1.520
1,1,60,177,768,1,0.276
1,1,60,165,788,12,0.918
1,1,60,157,810,8,1.009
1,1,60,154,888,3,3.584
1,1,60,149,902,5,0.643
1,1,60,146,928,3,1.193
1,1,60,143,941,3,0.598
1,1,60,136,945,7,0.184
2,1,60,272,0,0,0.000
2,1,60,266,1,6,0.091
2,1,60,259,4,7,0.137
2,1,60,240,5,19,0.045
2,1,60,231,14,9,0.411
2,1,60,229,394,2,17.461
2,1,60,228,402,1,0.372
2,1,60,218,484,10,3.810
